id,name
0,Adjusting glasses
1,Alligator wrestling
2,Archaeological excavation
3,Arguing
4,Assembling bicycle
5,Attending conference
6,Backflip (human)
7,Base jumping
8,Battle rope training
9,Blowdrying hair
10,Blowing bubble gum
11,Bouncing on bouncy castle
12,Breaking boards
13,Breathing fire
14,Building lego
15,Bull fighting
16,Bulldozing
17,Burping
18,Calculating
19,Calligraphy
20,Capsizing
21,Card stacking
22,Card throwing
23,Carving ice
24,Casting fishing line
25,Chiseling stone
26,Chiseling wood
27,Chopping meat
28,Clam digging
29,Coloring in
30,Combing hair
31,Contorting
32,Cooking scallops
33,Cosplaying
34,Cracking knuckles
35,Crossing eyes
36,Cumbia
37,Curling (sport)
38,Delivering mail
39,Directing traffic
40,Doing jigsaw puzzle
41,Dyeing eyebrows
42,Falling off bike
43,Falling off chair
44,Fencing (sport)
45,Fixing bicycle
46,Flint knapping
47,Fly tying
48,Geocaching
49,Hand washing clothes
50,Head stand
51,Historical reenactment
52,Home roasting coffee
53,Huddling
54,Ice swimming
55,Installing carpet
56,Ironing hair
57,Jaywalking
58,Jumping bicycle
59,Karaoke
60,Land sailing
61,Lawn mower racing
62,Laying concrete
63,Laying stone
64,Laying tiles
65,Leatherworking
66,Licking
67,Lifting hat
68,Lighting fire
69,Lock picking
70,Longboarding
71,Looking at phone
72,Luge
73,Making balloon shapes
74,Making bubbles
75,Making cheese
76,Making paper aeroplanes
77,Marriage proposal
78,Mosh pit dancing
79,Mushroom foraging
80,Needle felting
81,Opening door
82,Opening refrigerator
83,Opening wine bottle
84,Packing
85,Passing soccer ball
86,Photobombing
87,Photocopying
88,Pinching
89,Planing wood
90,Playing blackjack
91,Playing darts
92,Playing field hockey
93,Playing gong
94,Playing laser tag
95,Playing lute
96,Playing maracas
97,Playing ocarina
98,Playing ping pong
99,Playing polo
100,Poking bellybutton
101,Popping balloons
102,Pouring beer
103,Preparing salad
104,Pushing wheelbarrow
105,Putting in contact lenses
106,Putting on eyeliner
107,Putting on lipstick
108,Putting on mascara
109,Putting on sari
110,Putting on shoes
111,Raising eyebrows
112,Repairing puncture
113,Riding snow blower
114,Roasting marshmallows
115,Rolling pastry
116,Rope pushdown
117,Sawing wood
118,Scrubbing face
119,Shaping bread dough
120,Shopping
121,Shuffling feet
122,Sipping cup
123,Skiing mono
124,Skipping stone
125,Sleeping
126,Smashing
127,Square dancing
128,Staring
129,Steer roping
130,Sucking lolly
131,Swimming front crawl
132,Swinging baseball bat
133,Sword swallowing
134,Tasting wine
135,Threading needle
136,Throwing knife
137,Throwing snowballs
138,Throwing tantrum
139,Tie dying
140,Tightrope walking
141,Tiptoeing
142,Trimming shrubs
143,Using a microscope
144,Using a paint roller
145,Using a power drill
146,Using a sledge hammer
147,Using a wrench
148,Using atm
149,Using bagging machine
150,Using inhaler
151,Using puppets
152,Visiting the zoo
153,Wading through water
154,Walking through snow
155,Watching tv
156,Waving hand
157,Weaving fabric
158,Winking
159,Wood burning (art)
