id,name
0,Acting in play
1,Arguing
2,Assembling bicycle
3,Backflip (human)
4,Base jumping
5,Bathing dog
6,Battle rope training
7,Blowing bubble gum
8,Bottling
9,Breathing fire
10,Building lego
11,Building sandcastle
12,Bull fighting
13,Calculating
14,Calligraphy
15,Card stacking
16,Card throwing
17,Carving ice
18,Chewing gum
19,Chiseling stone
20,Chopping meat
21,Chopping vegetables
22,Coloring in
23,Contorting
24,Cooking scallops
25,Cosplaying
26,Cracking back
27,Cracking knuckles
28,Crossing eyes
29,Cumbia
30,Curling (sport)
31,Cutting apple
32,Delivering mail
33,Directing traffic
34,Docking boat
35,Doing jigsaw puzzle
36,Drooling
37,Dumpster diving
38,Dyeing eyebrows
39,Embroidering
40,Falling off bike
41,Fidgeting
42,Fixing bicycle
43,Geocaching
44,Getting a piercing
45,Gold panning
46,Hand washing clothes
47,Head stand
48,Historical reenactment
49,Huddling
50,Ice swimming
51,Installing carpet
52,Ironing hair
53,Jumping bicycle
54,Jumping jacks
55,Land sailing
56,Lawn mower racing
57,Laying stone
58,Laying tiles
59,Leatherworking
60,Licking
61,Lifting hat
62,Lighting fire
63,Lock picking
64,Longboarding
65,Looking at phone
66,Luge
67,Making balloon shapes
68,Making bubbles
69,Marriage proposal
70,Massaging neck
71,Moon walking
72,Mosh pit dancing
73,Mushroom foraging
74,Opening door
75,Opening refrigerator
76,Photobombing
77,Pinching
78,Pirouetting
79,Planing wood
80,Playing beer pong
81,Playing blackjack
82,Playing darts
83,Playing dominoes
84,Playing field hockey
85,Playing gong
86,Playing hand clapping games
87,Playing laser tag
88,Playing lute
89,Playing maracas
90,Playing netball
91,Playing ocarina
92,Playing pan pipes
93,Playing ping pong
94,Playing polo
95,Playing rubiks cube
96,Playing scrabble
97,Playing with trains
98,Poking bellybutton
99,Polishing metal
100,Popping balloons
101,Pouring beer
102,Preparing salad
103,Putting in contact lenses
104,Putting on eyeliner
105,Putting on foundation
106,Putting on mascara
107,Putting on sari
108,Repairing puncture
109,Riding snow blower
110,Roasting marshmallows
111,Roasting pig
112,Rolling pastry
113,Rope pushdown
114,Scrapbooking
115,Scrubbing face
116,Separating eggs
117,Sewing
118,Shaping bread dough
119,Shining flashlight
120,Shopping
121,Shuffling feet
122,Sipping cup
123,Skiing mono
124,Skipping stone
125,Smashing
126,Smelling feet
127,Smoking pipe
128,Square dancing
129,Steer roping
130,Sucking lolly
131,Swimming front crawl
132,Swinging baseball bat
133,Sword swallowing
134,Tagging graffiti
135,Talking on cell phone
136,Tasting wine
137,Threading needle
138,Throwing knife
139,Throwing snowballs
140,Throwing tantrum
141,Throwing water balloon
142,Tie dying
143,Tightrope walking
144,Trimming shrubs
145,Twiddling fingers
146,Tying shoe laces
147,Using a paint roller
148,Using a power drill
149,Using a wrench
150,Using atm
151,Using bagging machine
152,Using circular saw
153,Using inhaler
154,Visiting the zoo
155,Wading through mud
156,Wading through water
157,Waving hand
158,Weaving fabric
159,Winking
